user_id,product_id,rating
11,2114,2
11,19446,2
11,28033,2
11,28072,2
11,28415,2
11,28769,2
11,30002,2
11,30671,2
11,30705,2
11,30829,2
11,31154,2
11,32028,2
11,38391,2
13,27419,3
13,27746,2
13,30292,2
121,628,2
121,15557,2
121,15843,2
121,20944,2
121,26880,2
121,28053,2
121,29920,2
121,30232,2
121,30790,2
121,31547,2
121,34165,2
121,38766,2
121,38797,2
215,29223,2
215,29671,3
215,30182,2
215,32441,2
274,20603,3
274,25480,3
308,20857,2
308,20858,2
308,25524,2
308,27200,2
318,23615,2
318,24172,2
318,29845,2
318,30946,2
338,641,3
338,1852,3
338,7256,3
338,20099,3
338,24605,3
338,26904,3
338,28018,3
338,28232,3
338,28313,3
338,28361,3
338,30795,3
338,31141,3
338,31790,3
338,31801,3
338,38421,3
426,19653,1
426,30002,2
426,30485,2
426,30709,1
456,15556,2
456,20839,2
456,20902,3
456,25730,2
456,26320,2
456,29267,2
456,29295,2
456,30892,2
456,36964,2
460,16687,2
460,20936,2
460,24550,2
460,31799,2
460,33623,2
462,28129,2
462,29305,2
462,33764,2
462,35236,2
462,35280,2
462,35615,2
462,38346,2
462,40862,2
469,13192,3
469,27236,3
469,27575,3
469,28018,3
469,28232,3
469,28464,3
469,28874,3
469,29152,3
469,30420,3
469,30651,3
469,30781,3
469,30783,3
469,31279,3
469,31280,3
469,31373,3
469,31434,3
469,31550,3
469,31551,3
469,31553,3
469,31619,3
469,31628,3
469,33278,3
469,33469,3
469,34433,3
10479,16688,2
10479,20101,2
10479,29221,2
10479,29671,2
10479,29924,2
10479,30531,2
10479,34382,2
10479,34392,2
10479,37337,2
10505,25705,2
10505,29291,3
10505,30162,2
10505,30166,2
10505,38399,2
10516,18923,2
10516,19223,2
10516,25061,2
10516,27511,2
10516,28673,2
10516,28997,2
10516,30143,2
10516,30671,2
10526,641,2
10526,656,2
10526,15839,2
10526,16687,2
10526,19398,2
10526,22799,2
10526,26042,2
10526,28612,2
10526,29374,2
10526,29415,2
10526,29488,2
10526,29549,2
10526,29924,2
10526,30524,2
10526,30710,2
10557,42600,2
10557,42700,2
10557,42708,2
10589,22922,2
10589,27602,3
10589,27746,3
10589,30721,2
10589,32326,3
10611,32472,2
10611,32473,2
10611,43620,3
10654,1852,3
10654,8348,3
10654,10787,3
10654,28714,3
10654,31306,3
10654,32916,3
10715,6106,2
10715,10787,2
10715,17873,2
10715,29220,2
10715,29221,2
10715,30182,2
10715,31036,2
10718,27186,1
10718,29841,1
10718,30109,1
10718,33456,1
10718,34347,1
10720,20098,2
10720,22105,2
10720,23778,2
10720,27738,2
10720,30868,2
10720,35429,2
10720,35430,2
10720,35890,2
10720,36380,2
10754,15843,2
10754,20935,2
10754,24627,2
10754,27356,2
10754,28313,2
10754,29411,2
10754,36015,2
10754,37176,2
10754,37180,2
10754,37486,2
10754,39860,2
10791,17975,2
10791,21828,2
10791,29758,3
10791,29833,2
10791,30970,2
10791,32845,2
10791,40688,2
10803,22035,3
10803,29924,2
10803,30002,2
10803,30711,2
10803,30713,2
10803,32326,2
10803,32816,2
10829,636,2
10829,2569,2
10829,15763,2
10829,25515,2
10829,26047,2
10829,30644,2
10851,13217,3
10851,15843,3
10851,15844,3
10851,18723,3
10851,19396,3
10851,26916,3
10851,28090,3
10851,28454,3
10851,28458,3
10851,28582,3
10851,28936,3
10851,28942,3
10851,29349,3
10851,29485,3
10851,30434,3
10851,30781,3
10851,32179,3
10851,32183,3
10851,38198,3
10851,38202,3
10851,38204,3
10851,40907,3
10851,41861,3
10855,636,3
10855,641,3
10855,1852,3
10855,2726,3
10855,17363,3
10855,17975,3
10855,20101,3
10855,24605,3
10855,26043,3
10855,29305,3
10855,30770,3
10855,31482,3
10855,31762,3
10855,31866,3
10855,37562,3
10893,636,1
10893,650,2
10893,2726,2
10904,13286,2
10904,13296,2
10904,28129,2
10904,31896,2
10904,32024,2
10914,19475,3
10914,20611,3
10914,24605,3
10914,26523,3
10914,27589,3
10914,28069,3
10914,28141,3
10914,28228,3
10914,28488,3
10914,28761,3
10914,29092,3
10914,29424,3
10914,29720,3
10914,29758,3
10914,29833,3
10914,29867,3
10914,29868,3
10914,30280,3
